year,month,avg_wddir,count,station
2010,8,278.716578127122,744,OAK PARK
2010,9,196.91711194800905,720,OAK PARK
2010,10,219.01602035978678,731,OAK PARK
2010,11,275.13487140495465,711,OAK PARK
2010,12,344.28124208435713,705,OAK PARK
2011,1,262.06658407716947,714,OAK PARK
2011,2,183.6437747698703,659,OAK PARK
2011,3,205.05175266542912,710,OAK PARK
2011,4,188.1369444835828,696,OAK PARK
2011,5,219.0181499950195,741,OAK PARK
2011,6,252.79387468934817,720,OAK PARK
2011,7,281.9051847462493,730,OAK PARK
2011,8,244.6276277791124,716,OAK PARK
2011,9,201.70234405487966,714,OAK PARK
2011,10,204.65228008353262,743,OAK PARK
2011,11,160.54919013583685,714,OAK PARK
2011,12,230.92620502026415,737,OAK PARK
2012,1,221.36551860012062,744,OAK PARK
2012,2,208.72582776578082,696,OAK PARK
2012,3,192.5701944988067,744,OAK PARK
2012,4,330.7282377698427,720,OAK PARK
2012,5,47.54706182726807,744,OAK PARK
2012,6,183.76589179464298,720,OAK PARK
2012,7,270.7717708388278,744,OAK PARK
2012,8,174.40536122389108,744,OAK PARK
2012,9,251.01288544266197,720,OAK PARK
2012,10,249.31341097703427,724,OAK PARK
2012,11,213.65491966837837,708,OAK PARK
2012,12,201.8567698373728,744,OAK PARK
2013,1,182.50926698470985,744,OAK PARK
2013,2,272.6217683347277,672,OAK PARK
2013,3,73.96138178181673,744,OAK PARK
2013,4,227.45489267370723,720,OAK PARK
2013,5,272.281202415416,744,OAK PARK
2013,6,259.1490112895002,720,OAK PARK
2013,7,181.46771197958012,744,OAK PARK
2013,8,234.17206556172172,744,OAK PARK
2013,9,233.8142300905107,720,OAK PARK
2013,10,188.14292748015828,744,OAK PARK
2013,11,262.44374834835384,720,OAK PARK
2013,12,194.9806838984053,744,OAK PARK
2014,1,198.12631463119635,744,OAK PARK
2014,2,200.0257678632349,672,OAK PARK
2014,3,214.9081337953105,744,OAK PARK
2014,4,171.71877637716238,720,OAK PARK
2014,5,237.48556128810395,744,OAK PARK
2014,6,39.166131236762794,720,OAK PARK
2014,7,241.0065982944645,744,OAK PARK
2014,8,247.24912926261078,744,OAK PARK
2014,9,349.2516429259874,720,OAK PARK
2014,10,188.35187999630662,744,OAK PARK
2014,11,155.17806355261655,720,OAK PARK
2014,12,232.94403949570204,744,OAK PARK
2015,1,223.03612422413988,744,OAK PARK
2015,2,245.13576974666887,672,OAK PARK
2015,3,233.94220910564377,744,OAK PARK
2015,4,175.86023043602336,720,OAK PARK
2015,5,238.01677771098977,744,OAK PARK
2015,6,237.71217186881637,720,OAK PARK
2015,7,219.8220760015722,744,OAK PARK
2015,8,205.83680378858543,744,OAK PARK
2015,9,270.7681860189965,720,OAK PARK
2015,10,156.65171178581238,744,OAK PARK
2015,11,213.51661505262962,720,OAK PARK
2015,12,183.2533229851849,744,OAK PARK
2016,1,188.12387015690553,744,OAK PARK
2016,2,236.31337509486622,696,OAK PARK
2016,3,242.80485342773525,744,OAK PARK
2016,4,305.90499429936654,720,OAK PARK
2016,5,321.38586580765525,744,OAK PARK
2016,6,233.1545471822593,720,OAK PARK
2016,7,237.25558867401594,744,OAK PARK
2016,8,222.71558683451988,744,OAK PARK
2016,9,199.87759527796487,720,OAK PARK
2016,10,114.50014057829799,744,OAK PARK
2016,11,305.56283863798325,720,OAK PARK
2016,12,170.26773079452084,744,OAK PARK
2017,1,203.83277954742917,744,OAK PARK
2017,2,185.57018025109915,672,OAK PARK
2017,3,210.33273724899107,744,OAK PARK
2017,4,291.3932924667539,720,OAK PARK
2017,5,165.2206356651443,744,OAK PARK
2017,6,225.6929474484403,720,OAK PARK
2017,7,229.3758291739839,744,OAK PARK
2017,8,222.49195022516133,744,OAK PARK
2017,9,228.58228775970525,720,OAK PARK
2017,10,216.42633805797695,744,OAK PARK
2017,11,250.84937492819574,720,OAK PARK
2017,12,245.07578728968377,744,OAK PARK
2018,1,217.3512183747382,744,OAK PARK
2018,2,208.05466001167795,672,OAK PARK
2018,3,93.94355217426317,744,OAK PARK
2018,4,169.29767291846656,720,OAK PARK
2018,5,188.08825804595915,744,OAK PARK
2018,6,215.99119145029985,720,OAK PARK
2018,7,276.1966049578624,744,OAK PARK
2018,8,231.34414584986683,744,OAK PARK
2018,9,226.14354969372042,720,OAK PARK
2018,10,242.72597021876578,744,OAK PARK
2018,11,148.4224584258294,720,OAK PARK
2018,12,180.18776307668938,744,OAK PARK
2019,1,248.85707549859865,744,OAK PARK
2019,2,179.2994447497706,672,OAK PARK
2019,3,236.91455957683348,744,OAK PARK
2019,4,136.82946670500564,720,OAK PARK
2019,5,294.86207742025977,744,OAK PARK
2019,6,228.24934686203304,720,OAK PARK
2019,7,255.14452518774772,744,OAK PARK
2019,8,204.3066930011905,744,OAK PARK
2019,9,217.95786291037624,720,OAK PARK
2019,10,198.83768565623546,744,OAK PARK
2019,11,351.94441573692217,720,OAK PARK
2019,12,185.7580703066046,744,OAK PARK
2020,1,192.34023463020128,744,OAK PARK
2020,2,216.98760386765682,696,OAK PARK
2020,3,225.1500918771494,744,OAK PARK
2020,4,82.69890574906543,720,OAK PARK
2020,5,158.2094549826802,744,OAK PARK
2020,6,302.72031460404935,720,OAK PARK
2020,7,249.4628231017797,744,OAK PARK
2020,8,274.9538179903251,744,OAK PARK
2020,9,229.3702921366496,720,OAK PARK
2020,10,248.36179898237168,744,OAK PARK
2020,11,195.05783845292234,720,OAK PARK
2020,12,250.43613371440915,744,OAK PARK
2021,1,252.945549070926,744,OAK PARK
2021,2,159.7408136757864,672,OAK PARK
2021,3,228.96312705133744,744,OAK PARK
2021,4,334.43862299895403,718,OAK PARK
2021,5,196.8806545463785,744,OAK PARK
2021,6,271.13362723396983,720,OAK PARK
2021,7,273.5427901166363,744,OAK PARK
2021,8,250.6613188687263,742,OAK PARK
2021,9,205.06826197511901,720,OAK PARK
2021,10,201.92877869859007,744,OAK PARK
2021,11,258.96226965741533,720,OAK PARK
2021,12,180.19575327925125,744,OAK PARK
2022,1,203.28130461157883,744,OAK PARK
2022,2,230.33741495899022,672,OAK PARK
2022,3,132.45471937146561,743,OAK PARK
2022,4,151.4805622886346,720,OAK PARK
2022,5,227.6884605316908,744,OAK PARK
2022,6,230.46006919251923,720,OAK PARK
2022,7,259.8355197629762,744,OAK PARK
2022,8,285.41293120270615,744,OAK PARK
2022,9,320.1954372489393,720,OAK PARK
2022,10,177.71979651653714,744,OAK PARK
2022,11,181.2688618535248,720,OAK PARK
2022,12,194.0838121643569,744,OAK PARK
2023,1,218.89472098000397,744,OAK PARK
2023,2,206.6340216615519,672,OAK PARK
2023,3,201.35791064229622,744,OAK PARK
2023,4,170.42204028104186,720,OAK PARK
2023,5,333.9892541719022,744,OAK PARK
2023,6,157.42799376616313,720,OAK PARK
2023,7,235.740297574357,744,OAK PARK
2023,8,243.61761693631792,744,OAK PARK
2023,9,195.99512788168138,720,OAK PARK
2023,10,156.0247273451148,744,OAK PARK
2023,11,251.54273241105892,720,OAK PARK
2023,12,229.14134889358243,744,OAK PARK
2024,1,229.2376084310988,744,OAK PARK
2024,2,207.0155048459814,696,OAK PARK
2024,3,171.2199014175285,744,OAK PARK
2024,4,260.26740442473164,720,OAK PARK
2024,5,291.7887044589535,744,OAK PARK
2024,6,280.65687657834127,720,OAK PARK
2024,7,248.9713623758647,744,OAK PARK
2024,8,210.1140054467212,744,OAK PARK
2024,9,323.73898828553104,720,OAK PARK
2024,10,162.54608418682358,744,OAK PARK
2024,11,183.3110306968447,720,OAK PARK
2024,12,234.75542258608425,744,OAK PARK
2025,1,179.10313302141162,744,OAK PARK
2025,2,145.36928415601517,672,OAK PARK
2025,3,146.1138565901938,744,OAK PARK
2025,4,170.0,1,OAK PARK
