year,month,avg_wddir,count,station
1979,5,236.53197574377222,744,SHANNON AIRPORT
1979,6,254.15928258454267,720,SHANNON AIRPORT
1979,7,256.49716638167314,744,SHANNON AIRPORT
1979,8,246.16833863257244,744,SHANNON AIRPORT
1979,9,224.06949444806,720,SHANNON AIRPORT
1979,10,157.82965136200062,744,SHANNON AIRPORT
1979,11,227.22852481665333,720,SHANNON AIRPORT
1979,12,215.06836023363977,744,SHANNON AIRPORT
1980,1,145.0839428242822,744,SHANNON AIRPORT
1980,2,187.467831322539,696,SHANNON AIRPORT
1980,3,269.9290227821395,744,SHANNON AIRPORT
1980,4,315.9437686315999,720,SHANNON AIRPORT
1980,5,63.937727734498594,744,SHANNON AIRPORT
1980,6,268.7795105218857,720,SHANNON AIRPORT
1980,7,274.2159548390914,744,SHANNON AIRPORT
1980,8,205.15602724418898,744,SHANNON AIRPORT
1980,9,209.32619152714275,720,SHANNON AIRPORT
1980,10,230.35432314890417,744,SHANNON AIRPORT
1980,11,198.7138171539198,720,SHANNON AIRPORT
1980,12,241.70206573184956,744,SHANNON AIRPORT
1981,1,247.59404022467453,744,SHANNON AIRPORT
1981,2,164.5417327968346,672,SHANNON AIRPORT
1981,3,204.41194863918975,744,SHANNON AIRPORT
1981,4,50.082687313186796,720,SHANNON AIRPORT
1981,5,183.49699212551317,744,SHANNON AIRPORT
1981,6,274.867879179836,720,SHANNON AIRPORT
1981,7,271.0353910919407,744,SHANNON AIRPORT
1981,8,253.12169416796092,744,SHANNON AIRPORT
1981,9,198.08914804876648,720,SHANNON AIRPORT
1981,10,288.1795225467719,744,SHANNON AIRPORT
1981,11,219.10683103950592,720,SHANNON AIRPORT
1981,12,57.83159459895853,744,SHANNON AIRPORT
1982,1,174.03003329520584,744,SHANNON AIRPORT
1982,2,175.05490172731004,672,SHANNON AIRPORT
1982,3,239.54029979406909,744,SHANNON AIRPORT
1982,4,304.53557988242886,720,SHANNON AIRPORT
1982,5,216.3605749992024,744,SHANNON AIRPORT
1982,6,164.73421427258324,720,SHANNON AIRPORT
1982,7,339.27420152564576,744,SHANNON AIRPORT
1982,8,270.86037273650635,744,SHANNON AIRPORT
1982,9,216.55937337158923,720,SHANNON AIRPORT
1982,10,222.30564460299837,744,SHANNON AIRPORT
1982,11,239.09623253037364,720,SHANNON AIRPORT
1982,12,226.4451196652928,744,SHANNON AIRPORT
1983,1,239.26149225738612,744,SHANNON AIRPORT
1983,2,52.4994553800791,672,SHANNON AIRPORT
1983,3,259.0511073562952,744,SHANNON AIRPORT
1983,4,341.87321090951997,720,SHANNON AIRPORT
1983,5,349.7354828609078,744,SHANNON AIRPORT
1983,6,278.05815372430436,720,SHANNON AIRPORT
1983,7,322.5708588877707,744,SHANNON AIRPORT
1983,8,304.5255207551743,744,SHANNON AIRPORT
1983,9,215.07524447841706,720,SHANNON AIRPORT
1983,10,231.5278137682456,744,SHANNON AIRPORT
1983,11,122.77602968507165,720,SHANNON AIRPORT
1983,12,202.2186181282143,744,SHANNON AIRPORT
1984,1,256.127846930669,744,SHANNON AIRPORT
1984,2,214.38796631518898,696,SHANNON AIRPORT
1984,3,5.647352833617504,744,SHANNON AIRPORT
1984,4,132.7353995853714,720,SHANNON AIRPORT
1984,5,348.99159556502934,744,SHANNON AIRPORT
1984,6,286.77530061951444,720,SHANNON AIRPORT
1984,7,304.61100166990775,744,SHANNON AIRPORT
1984,8,285.96575401492703,744,SHANNON AIRPORT
1984,9,266.4926846688464,720,SHANNON AIRPORT
1984,10,203.13458077644037,744,SHANNON AIRPORT
1984,11,199.04806989788625,720,SHANNON AIRPORT
1984,12,200.4792586640889,744,SHANNON AIRPORT
1985,1,77.59664984579479,744,SHANNON AIRPORT
1985,2,130.4241526906165,672,SHANNON AIRPORT
1985,3,243.34798360856024,744,SHANNON AIRPORT
1985,4,262.0079801634115,720,SHANNON AIRPORT
1985,5,307.3492428896327,744,SHANNON AIRPORT
1985,6,287.3476159372299,720,SHANNON AIRPORT
1985,7,239.70874032890907,744,SHANNON AIRPORT
1985,8,215.13341526752785,744,SHANNON AIRPORT
1985,9,194.40959678445893,720,SHANNON AIRPORT
1985,10,130.5532801264617,744,SHANNON AIRPORT
1985,11,6.225516196224419,720,SHANNON AIRPORT
1985,12,184.48171274231257,744,SHANNON AIRPORT
1986,1,254.69272979747288,744,SHANNON AIRPORT
1986,2,68.16573082415073,672,SHANNON AIRPORT
1986,3,215.16127235112393,744,SHANNON AIRPORT
1986,4,315.2928710174846,720,SHANNON AIRPORT
1986,5,212.70656673700847,744,SHANNON AIRPORT
1986,6,204.07230137909963,720,SHANNON AIRPORT
1986,7,256.4521625274424,744,SHANNON AIRPORT
1986,8,308.53677723845766,744,SHANNON AIRPORT
1986,9,301.59646647566274,720,SHANNON AIRPORT
1986,10,209.9315205281604,744,SHANNON AIRPORT
1986,11,213.3094257745288,720,SHANNON AIRPORT
1986,12,235.67837661641005,744,SHANNON AIRPORT
1987,1,92.28715021882766,744,SHANNON AIRPORT
1987,2,109.90749323898012,672,SHANNON AIRPORT
1987,3,247.29791655608108,744,SHANNON AIRPORT
1987,4,157.8122295794152,720,SHANNON AIRPORT
1987,5,311.41236257175956,744,SHANNON AIRPORT
1987,6,282.7355961202338,720,SHANNON AIRPORT
1987,7,277.5957357789458,744,SHANNON AIRPORT
1987,8,279.9235781508431,744,SHANNON AIRPORT
1987,9,207.42809134306665,720,SHANNON AIRPORT
1987,10,186.69480992708264,744,SHANNON AIRPORT
1987,11,261.8532091640057,720,SHANNON AIRPORT
1987,12,124.22911173143655,744,SHANNON AIRPORT
1988,1,201.46181924235634,744,SHANNON AIRPORT
1988,2,279.8279920952838,696,SHANNON AIRPORT
1988,3,256.47467565610634,744,SHANNON AIRPORT
1988,4,106.64391801289617,720,SHANNON AIRPORT
1988,5,186.0767796201389,744,SHANNON AIRPORT
1988,6,306.7958481959769,720,SHANNON AIRPORT
1988,7,252.63835826548484,744,SHANNON AIRPORT
1988,8,222.9093522791837,744,SHANNON AIRPORT
1988,9,244.1806104532227,720,SHANNON AIRPORT
