year,month,avg_wddir,count,station
2010,4,200.81042556939812,720,DUNSANY
2010,5,336.9253662982003,744,DUNSANY
2010,6,240.16105837263243,720,DUNSANY
2010,7,225.29540916232517,744,DUNSANY
2010,8,262.8681297957747,744,DUNSANY
2010,9,199.38199180357458,720,DUNSANY
2010,10,211.28759384017854,744,DUNSANY
2010,11,257.35935681299935,720,DUNSANY
2010,12,267.43217155172584,744,DUNSANY
2011,1,246.33384170732782,744,DUNSANY
2011,2,192.50654752908517,672,DUNSANY
2011,3,175.65903598250634,744,DUNSANY
2011,4,179.6906128984533,720,DUNSANY
2011,5,214.39136590847983,744,DUNSANY
2011,6,236.05530783208303,720,DUNSANY
2011,7,259.56563340339846,744,DUNSANY
2011,8,235.93699187732602,744,DUNSANY
2011,9,205.18909831466254,720,DUNSANY
2011,10,211.4907072371321,744,DUNSANY
2011,11,166.2911746204004,720,DUNSANY
2011,12,232.08492606527145,744,DUNSANY
2012,1,220.35236738820234,744,DUNSANY
2012,2,220.29165756134717,696,DUNSANY
2012,3,201.33078187473822,744,DUNSANY
2012,4,321.5963019328565,720,DUNSANY
2012,5,74.99408384453073,744,DUNSANY
2012,6,145.9895423271567,720,DUNSANY
2012,7,256.97885165825573,744,DUNSANY
2012,8,170.30029264014308,744,DUNSANY
2012,9,242.9467849709886,720,DUNSANY
2012,10,222.1393139083927,744,DUNSANY
2012,11,221.2772511082033,720,DUNSANY
2012,12,210.37969337032465,744,DUNSANY
2013,1,183.97958469502214,744,DUNSANY
2013,2,179.72631344125784,672,DUNSANY
2013,3,80.52018418444845,744,DUNSANY
2013,4,211.91579084410603,720,DUNSANY
2013,5,266.37868276010147,744,DUNSANY
2013,6,241.94327167667316,720,DUNSANY
2013,7,177.8794307160298,744,DUNSANY
2013,8,239.76868959718155,744,DUNSANY
2013,9,247.83187060224296,720,DUNSANY
2013,10,194.95388447184038,744,DUNSANY
2013,11,259.0548619005235,720,DUNSANY
2013,12,216.04877638420373,744,DUNSANY
2014,1,212.46741249360826,744,DUNSANY
2014,2,214.90812838954673,672,DUNSANY
2014,3,225.6365401810506,744,DUNSANY
2014,4,163.01704523422598,720,DUNSANY
2014,5,213.0225123690202,744,DUNSANY
2014,6,358.90247593331657,720,DUNSANY
2014,7,235.30792214242902,744,DUNSANY
2014,8,250.15551343543083,744,DUNSANY
2014,9,97.05648071023609,720,DUNSANY
2014,10,203.48343098571013,744,DUNSANY
2014,11,171.94709090898846,720,DUNSANY
2014,12,239.63921527511883,744,DUNSANY
2015,1,236.10939405158695,744,DUNSANY
2015,2,245.47210492646425,672,DUNSANY
2015,3,228.32706563198786,744,DUNSANY
2015,4,192.61548690289393,720,DUNSANY
2015,5,239.50727213843857,744,DUNSANY
2015,6,241.96178844332036,720,DUNSANY
2015,7,223.3379828973011,744,DUNSANY
2015,8,212.72992948674442,744,DUNSANY
2015,9,245.5977493144095,720,DUNSANY
2015,10,146.3010811925667,744,DUNSANY
2015,11,226.43573541833842,720,DUNSANY
2015,12,194.0803179730748,744,DUNSANY
2016,1,201.87097501542993,744,DUNSANY
2016,2,231.8106229910547,696,DUNSANY
2016,3,236.16102067216454,744,DUNSANY
2016,4,307.94871846598153,720,DUNSANY
2016,5,63.30072836289446,744,DUNSANY
2016,6,223.95492929761198,720,DUNSANY
2016,7,239.30068532126273,744,DUNSANY
2016,8,222.7063629775102,744,DUNSANY
2016,9,209.39610400870237,720,DUNSANY
2016,10,115.57402181107318,744,DUNSANY
2016,11,270.8013757006577,720,DUNSANY
2016,12,191.17645975203067,744,DUNSANY
2017,1,211.03141076496573,744,DUNSANY
2017,2,197.75091225988405,672,DUNSANY
2017,3,209.19073976735908,744,DUNSANY
2017,4,265.00284819034584,720,DUNSANY
2017,5,135.86666357139995,744,DUNSANY
2017,6,230.40861159706407,720,DUNSANY
2017,7,229.64710444222982,744,DUNSANY
2017,8,223.59774654771857,744,DUNSANY
2017,9,221.05210629776383,720,DUNSANY
2017,10,221.3738999533244,744,DUNSANY
2017,11,242.6256525639301,720,DUNSANY
2017,12,236.2933288337769,744,DUNSANY
2018,1,212.52527218545046,744,DUNSANY
2018,2,210.70706220468784,672,DUNSANY
2018,3,115.58034936604304,744,DUNSANY
2018,4,160.32388694716678,720,DUNSANY
