station,year,month,wdsp
KNOCK AIRPORT,2015,8,8.2
KNOCK AIRPORT,2015,9,8.3
KNOCK AIRPORT,2015,10,7.7
KNOCK AIRPORT,2015,11,11.0
KNOCK AIRPORT,2015,12,12.6
KNOCK AIRPORT,2016,1,11.2
KNOCK AIRPORT,2016,2,10.8
KNOCK AIRPORT,2016,3,9.5
KNOCK AIRPORT,2016,4,9.3
KNOCK AIRPORT,2016,5,8.2
KNOCK AIRPORT,2016,6,7.6
KNOCK AIRPORT,2016,7,8.2
KNOCK AIRPORT,2016,8,9.3
KNOCK AIRPORT,2016,9,9.3
KNOCK AIRPORT,2016,10,7.9
KNOCK AIRPORT,2016,11,7.0
KNOCK AIRPORT,2016,12,9.5
KNOCK AIRPORT,2017,1,9.4
KNOCK AIRPORT,2017,2,11.3
KNOCK AIRPORT,2017,3,9.7
KNOCK AIRPORT,2017,4,8.6
KNOCK AIRPORT,2017,5,8.3
KNOCK AIRPORT,2017,6,9.9
KNOCK AIRPORT,2017,7,8.0
KNOCK AIRPORT,2017,8,8.3
KNOCK AIRPORT,2017,9,9.6
KNOCK AIRPORT,2017,10,11.0
KNOCK AIRPORT,2017,11,8.5
KNOCK AIRPORT,2017,12,9.7
KNOCK AIRPORT,2018,1,12.1
KNOCK AIRPORT,2018,2,10.0
KNOCK AIRPORT,2018,3,9.8
KNOCK AIRPORT,2018,4,9.7
KNOCK AIRPORT,2018,5,8.8
KNOCK AIRPORT,2018,6,7.2
KNOCK AIRPORT,2018,7,7.4
KNOCK AIRPORT,2018,8,8.2
KNOCK AIRPORT,2018,9,8.7
KNOCK AIRPORT,2018,10,9.4
KNOCK AIRPORT,2018,11,10.9
KNOCK AIRPORT,2018,12,10.4
KNOCK AIRPORT,2019,1,8.9
KNOCK AIRPORT,2019,2,11.4
KNOCK AIRPORT,2019,3,11.1
KNOCK AIRPORT,2019,4,10.3
KNOCK AIRPORT,2019,5,8.0
KNOCK AIRPORT,2019,6,8.8
KNOCK AIRPORT,2019,7,8.1
KNOCK AIRPORT,2019,8,9.1
KNOCK AIRPORT,2019,9,8.7
KNOCK AIRPORT,2019,10,8.9
KNOCK AIRPORT,2019,11,8.2
KNOCK AIRPORT,2019,12,10.6
KNOCK AIRPORT,2020,1,10.4
KNOCK AIRPORT,2020,2,13.6
KNOCK AIRPORT,2020,3,10.3
KNOCK AIRPORT,2020,4,8.2
KNOCK AIRPORT,2020,5,9.2
KNOCK AIRPORT,2020,6,9.4
KNOCK AIRPORT,2020,7,8.8
KNOCK AIRPORT,2020,8,7.7
KNOCK AIRPORT,2020,9,8.6
KNOCK AIRPORT,2020,10,10.2
KNOCK AIRPORT,2020,11,9.5
KNOCK AIRPORT,2020,12,10.0
KNOCK AIRPORT,2021,1,8.2
KNOCK AIRPORT,2021,2,11.9
KNOCK AIRPORT,2021,3,10.0
