station,year,month,wdsp,wdsp_ms
SHANNON AIRPORT,1979,9,9.4,4.8357736000000004
SHANNON AIRPORT,1979,10,8.8,4.5271072000000006
SHANNON AIRPORT,1979,11,10.6,5.4531064
SHANNON AIRPORT,1979,12,10.3,5.2987732
SHANNON AIRPORT,1980,1,7.9,4.064107600000001
SHANNON AIRPORT,1980,2,7.1,3.6525524
SHANNON AIRPORT,1980,3,9.6,4.9386624
SHANNON AIRPORT,1980,4,6.4,3.2924416
SHANNON AIRPORT,1980,5,8.0,4.115552
SHANNON AIRPORT,1980,6,10.3,5.2987732
SHANNON AIRPORT,1980,7,9.8,5.041551200000001
SHANNON AIRPORT,1980,8,8.7,4.475662799999999
SHANNON AIRPORT,1980,9,11.0,5.6588840000000005
SHANNON AIRPORT,1980,10,10.5,5.401662
SHANNON AIRPORT,1980,11,10.3,5.2987732
SHANNON AIRPORT,1980,12,11.7,6.0189948
SHANNON AIRPORT,1981,1,10.5,5.401662
SHANNON AIRPORT,1981,2,11.7,6.0189948
SHANNON AIRPORT,1981,3,11.8,6.070439200000001
SHANNON AIRPORT,1981,4,9.2,4.7328848
SHANNON AIRPORT,1981,5,11.2,5.7617728
SHANNON AIRPORT,1981,6,10.6,5.4531064
SHANNON AIRPORT,1981,7,10.4,5.350217600000001
SHANNON AIRPORT,1981,8,7.0,3.601108
SHANNON AIRPORT,1981,9,10.4,5.350217600000001
SHANNON AIRPORT,1981,10,10.5,5.401662
SHANNON AIRPORT,1981,11,10.8,5.555995200000001
SHANNON AIRPORT,1981,12,9.7,4.9901067999999995
SHANNON AIRPORT,1982,1,11.7,6.0189948
SHANNON AIRPORT,1982,2,12.7,6.5334388
SHANNON AIRPORT,1982,3,12.9,6.6363276
SHANNON AIRPORT,1982,4,8.0,4.115552
SHANNON AIRPORT,1982,5,11.0,5.6588840000000005
SHANNON AIRPORT,1982,6,9.6,4.9386624
SHANNON AIRPORT,1982,7,7.3,3.7554412
SHANNON AIRPORT,1982,8,11.2,5.7617728
SHANNON AIRPORT,1982,9,9.8,5.041551200000001
SHANNON AIRPORT,1982,10,11.3,5.8132172
SHANNON AIRPORT,1982,11,11.6,5.9675504
SHANNON AIRPORT,1982,12,11.9,6.1218836
SHANNON AIRPORT,1983,1,14.7,7.5623268
SHANNON AIRPORT,1983,2,11.7,6.0189948
SHANNON AIRPORT,1983,3,11.3,5.8132172
SHANNON AIRPORT,1983,4,8.1,4.1669963999999995
SHANNON AIRPORT,1983,5,9.1,4.6814404
SHANNON AIRPORT,1983,6,7.7,3.9612188
SHANNON AIRPORT,1983,7,6.0,3.086664
SHANNON AIRPORT,1983,8,6.3,3.2409972
SHANNON AIRPORT,1983,9,11.1,5.7103284
SHANNON AIRPORT,1983,10,11.8,6.070439200000001
SHANNON AIRPORT,1983,11,8.1,4.1669963999999995
SHANNON AIRPORT,1983,12,10.5,5.401662
SHANNON AIRPORT,1984,1,13.8,7.0993272
SHANNON AIRPORT,1984,2,10.5,5.401662
SHANNON AIRPORT,1984,3,7.3,3.7554412
SHANNON AIRPORT,1984,4,8.5,4.372774
SHANNON AIRPORT,1984,5,8.0,4.115552
SHANNON AIRPORT,1984,6,9.4,4.8357736000000004
SHANNON AIRPORT,1984,7,8.3,4.2698852
SHANNON AIRPORT,1984,8,7.8,4.0126632
SHANNON AIRPORT,1984,9,9.6,4.9386624
SHANNON AIRPORT,1984,10,10.7,5.5045508
SHANNON AIRPORT,1984,11,8.9,4.5785516
SHANNON AIRPORT,1984,12,9.2,4.7328848
SHANNON AIRPORT,1985,1,6.2,3.1895528
SHANNON AIRPORT,1985,2,11.4,5.864661600000001
SHANNON AIRPORT,1985,3,8.8,4.5271072000000006
SHANNON AIRPORT,1985,4,10.4,5.350217600000001
SHANNON AIRPORT,1985,5,7.2,3.7039968
SHANNON AIRPORT,1985,6,8.1,4.1669963999999995
SHANNON AIRPORT,1985,7,7.4,3.8068856
SHANNON AIRPORT,1985,8,10.8,5.555995200000001
SHANNON AIRPORT,1985,9,8.4,4.3213296
SHANNON AIRPORT,1985,10,6.3,3.2409972
SHANNON AIRPORT,1985,11,6.2,3.1895528
SHANNON AIRPORT,1985,12,8.6,4.4242184
SHANNON AIRPORT,1986,1,10.1,5.1958844
SHANNON AIRPORT,1986,2,10.4,5.350217600000001
SHANNON AIRPORT,1986,3,11.4,5.864661600000001
SHANNON AIRPORT,1986,4,7.7,3.9612188
SHANNON AIRPORT,1986,5,11.3,5.8132172
SHANNON AIRPORT,1986,6,7.4,3.8068856
SHANNON AIRPORT,1986,7,8.8,4.5271072000000006
SHANNON AIRPORT,1986,8,8.8,4.5271072000000006
SHANNON AIRPORT,1986,9,6.1,3.1381083999999997
SHANNON AIRPORT,1986,10,9.9,5.0929956
SHANNON AIRPORT,1986,11,11.6,5.9675504
SHANNON AIRPORT,1986,12,11.3,5.8132172
SHANNON AIRPORT,1987,1,9.4,4.8357736000000004
SHANNON AIRPORT,1987,2,7.9,4.064107600000001
SHANNON AIRPORT,1987,3,10.4,5.350217600000001
SHANNON AIRPORT,1987,4,8.5,4.372774
SHANNON AIRPORT,1987,5,10.1,5.1958844
SHANNON AIRPORT,1987,6,8.4,4.3213296
SHANNON AIRPORT,1987,7,8.1,4.1669963999999995
